DesignRole;LOC;CC;Efferent;NOP;
UNDEFINED;91;21;17;3;
BACKGROUNDPROCESS;223;35;19;3;
ENTITY;82;19;16;9;
GERENCIADORAGENDA;90;21;17;10;
PERSISTENCE;81;18;15;3;
EXCEPTION;91;21;17;3;
TRANSACAORELATORIO;197;28;27;4;
TRANSACAOMANTAB;91;21;17;3;
TRANSACAO;118;27;19;3;
ABAS;91;21;17;3;
